Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity,Month,Year,Day_perc_Change,Trend,sma21,sma34,Trade Call,sma14,std14,Bollinger Upper,Bollinger Lower
2019-09-03,1789.84,1770.0,1800.8,1768.0,3.55,9,2019,-0.5986826759671661,Slight negative,1796.0985714285707,1774.5276470588233,HODL,1820.4271428571428,17.078940441181675,1854.5850237395061,1786.2692619747795
2019-08-30,1776.29,1797.49,1799.74,1764.57,3.06,8,2019,-0.757050909578505,Slight negative,1798.0338095238087,1775.08,HODL,1819.1507142857142,19.665055873998835,1858.480826033712,1779.8206025377165
2019-08-29,1786.4,1783.0,1798.55,1777.25,3.02,8,2019,0.5691638189710079,Slight positive,1800.4380952380943,1775.0482352941174,HODL,1816.6435714285715,21.494859710081045,1859.6332908487336,1773.6538520084093
2019-08-28,1764.25,1755.0,1767.86,1744.05,2.42,8,2019,-1.2399238692342165,Negative,1802.2857142857135,1774.660588235294,HODL,1812.8428571428574,25.643353743393416,1864.1295646296442,1761.5561496560706
2019-08-27,1761.83,1775.73,1779.4,1746.68,3.03,8,2019,-0.1371687685985612,Slight or No change,1803.3328571428567,1774.4973529411764,HODL,1808.5057142857147,28.814115588420755,1866.1339454625563,1750.877483108873
2019-08-26,1768.87,1766.91,1770.0,1743.51,3.09,8,2019,0.3995845229108452,Slight or No change,1803.358571428571,1775.4514705882352,HODL,1805.7221428571431,30.70374975310202,1867.129642363347,1744.3146433509391
2019-08-23,1749.62,1793.03,1804.9,1745.23,5.28,8,2019,-1.0882653897686057,Negative,1803.7399999999998,1775.9720588235296,HODL,1799.3135714285715,32.46024351942955,1864.2340584674307,1734.3930843897124
2019-08-22,1805.6,1828.0,1829.41,1800.1,2.66,8,2019,3.199551902698872,Among top gainers,1804.7066666666663,1778.4820588235293,HODL,1796.6028571428574,29.971091566213197,1856.5450402752838,1736.660674010431
2019-08-21,1823.54,1819.39,1829.58,1815.0,2.04,8,2019,0.9935755427558756,Slight positive,1806.1057142857137,1781.4688235294118,HODL,1796.642142857143,30.00867699607817,1856.6594968492993,1736.6247888649866
2019-08-20,1801.38,1814.5,1816.82,1799.88,1.93,8,2019,-1.215218750342728,Negative,1805.1476190476183,1784.2885294117646,HODL,1795.2728571428574,29.26192260063783,1853.796702344133,1736.7490119415818
2019-08-19,1816.12,1818.08,1826.0,1812.61,2.82,8,2019,0.8182615550300198,Slight positive,1805.083809523809,1786.7432352941175,HODL,1794.1850000000002,28.076621194372944,1850.338242388746,1738.0317576112543
2019-08-16,1792.57,1792.89,1802.91,1784.55,3.05,8,2019,-1.2967204810254818,Negative,1803.6561904761897,1788.2997058823528,HODL,1791.2607142857146,25.696885313889076,1842.6544849134928,1739.8669436579364
2019-08-15,1776.12,1781.99,1788.0,1761.96,3.81,8,2019,-0.9176768550182124,Slight negative,1802.145714285714,1789.820294117647,HODL,1786.6464285714287,21.607025782990394,1829.8604801374095,1743.432377005448
2019-08-14,1762.96,1793.01,1795.65,1757.21,4.89,8,2019,-0.7409409274148016,Slight negative,1798.508571428571,1791.2829411764706,HODL,1783.956428571429,22.072794116511098,1828.102016804451,1739.8108403384067
2019-08-13,1824.34,1783.0,1831.74,1780.0,4.08,8,2019,3.4816445069655533,Among top gainers,1797.5938095238089,1793.891470588235,HODL,1786.4207142857144,24.56530651276169,1835.5513273112379,1737.290101260191
