Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,pc_Open_Close,pc_High_Low,5_day_mean,5_day_std,Action
2017-06-20,BAJFINANCE,EQ,1399.85,1407.7,1432.9,1395.05,1411.5,1409.6,1418.2,781161,1107841162.4,38166,294753,37.73,0.00134971940044,0.027131644027096,0.005601186907824,0.016394834158047,-1
2017-06-21,BAJFINANCE,EQ,1409.6,1404.8,1426,1401,1419.9,1416.65,1416.69,449181,636348673.3,23993,170175,37.89,0.008435364464693,0.017844396859386,0.008132640927818,0.014728643113096,-1
2017-06-22,BAJFINANCE,EQ,1416.65,1419,1427,1395.3,1400,1401.8,1410.93,477586,673842667.65,31890,240623,50.38,-0.012121212121212,0.022719128502831,-0.000466425963568,0.00790790030613,-1
2017-06-23,BAJFINANCE,EQ,1401.8,1405,1415.5,1366,1400,1400.75,1391.87,620781,864045572.65,27030,213449,34.38,-0.003024911032028,0.036237188872621,-0.001334966675539,0.00758226963797,-1
2017-06-27,BAJFINANCE,EQ,1400.75,1400,1400,1336.75,1341,1349.95,1361.84,1053829,1435142568.55,37982,522564,49.59,-0.03575,0.047316252103984,-0.007106269665048,0.017654442622751,-1
2017-06-28,BAJFINANCE,EQ,1349.95,1341,1377,1313.9,1371,1372.35,1353.9,998218,1351490429.3,30259,430604,43.14,0.02337807606264,0.048024963848086,-0.005180634627426,0.019948939180645,-1
2017-06-29,BAJFINANCE,EQ,1372.35,1379,1394.85,1366.5,1369.65,1376.3,1381.08,726869,1003865047.95,17813,296476,40.79,-0.001957940536621,0.020746432491767,-0.005605263497339,0.019699054245657,-1
2017-06-30,BAJFINANCE,EQ,1376.3,1367.6,1380,1352.5,1373.55,1373.1,1364,496260,676901079.6,31246,216431,43.61,0.004021643755484,0.020332717190388,-0.003973783139462,0.019531223384297,-1
2017-07-03,BAJFINANCE,EQ,1373.1,1380,1390,1366.5,1384,1387.15,1380.67,446514,616490664.5,18913,193216,43.27,0.00518115942029,0.01719721917307,-0.001777511543881,0.020574080237732,-1
2017-07-04,BAJFINANCE,EQ,1387.15,1390,1408.75,1376.55,1378,1379.55,1388.07,704342,977677586.1,23191,350690,49.79,-0.007517985611511,0.023391812865497,0.004379973733344,0.009052933293989,-1
2017-07-05,BAJFINANCE,EQ,1379.55,1375,1407,1370.1,1399,1398.55,1391.6,643929,896093763.4,25001,298889,46.42,0.017127272727273,0.026932340705058,0.003815853704086,0.00814385868452,-1
2017-07-06,BAJFINANCE,EQ,1398.55,1398.9,1413.5,1392.35,1397.5,1399.3,1404.77,418130,587376329.2,25318,178634,42.72,0.000285938952034,0.01519014615578,0.003347452747137,0.00827752010299,-1
2017-07-07,BAJFINANCE,EQ,1399.3,1398.5,1403.6,1387.4,1393,1391.7,1395.07,202005,281811710.3,8185,75611,37.43,-0.004862352520558,0.011676517226467,0.002726210227724,0.008902645008782,-1
2017-07-10,BAJFINANCE,EQ,1391.7,1451.55,1451.55,1395.1,1411.55,1412.8,1410.24,150018,211560811.05,3910,96462,64.3,-0.026695601253832,0.040463049243782,0.003712008722935,0.010129899473407,-1
2017-07-11,BAJFINANCE,EQ,1412.8,1419.4,1431,1409.6,1422,1419.2,1422.27,665556,946603580.4,28991,319337,47.98,-0.000140904607581,0.015181611804767,0.005713782894368,0.008755298726675,-1
2017-07-12,BAJFINANCE,EQ,1419.2,1424.5,1452,1420,1452,1443.7,1435.9,654934,940419643,16957,308664,47.13,0.013478413478414,0.022535211267606,0.006411910872394,0.009651807894058,-1
2017-07-13,BAJFINANCE,EQ,1443.7,1452,1489.5,1450.9,1482.1,1485.9,1473.08,1011798,1490462162.6,45659,496745,49.1,0.023347107438017,0.026604176717899,0.012150746838687,0.013173087518289,-1
2017-07-14,BAJFINANCE,EQ,1485.9,1485,1508.65,1470.65,1495,1499.4,1488.5,570522,849222446,19927,262514,46.01,0.00969696969697,0.02583891476558,0.015054084810346,0.009384062285192,-1
2017-07-17,BAJFINANCE,EQ,1499.4,1504.95,1549.7,1488.05,1538.55,1538.5,1525.27,947006,1444438289.15,29590,327928,34.63,0.02229309943852,0.041430059473808,0.017237241611186,0.010605504970218,-1
2017-07-18,BAJFINANCE,EQ,1538.5,1537.95,1545.15,1507,1514.95,1512.35,1524.5,501708,764854066.65,24617,215197,42.89,-0.016645534640268,0.025315195753152,0.012931824331555,0.01849147499681,-1
2017-07-19,BAJFINANCE,EQ,1512.35,1519.65,1577.4,1515,1544,1541.85,1548.11,2655273,4110642034.5,92367,653995,24.63,0.014608626986477,0.041188118811881,0.013380388295095,0.018649343041831,-1
2017-07-20,BAJFINANCE,EQ,1541.85,1551,1608,1547.1,1587.25,1595.35,1587.31,2169635,3443890632.2,71082,733445,33.8,0.0285944551902,0.039363971301144,0.014474013664322,0.019927698081673,-1
2017-07-21,BAJFINANCE,EQ,1595.35,1598.9,1631.5,1585,1623,1621.35,1613.88,1380541,2228031116.45,54293,459973,33.32,0.014040903120896,0.029337539432177,0.015916405950033,0.019699857904575,-1
2017-07-24,BAJFINANCE,EQ,1621.35,1633,1637.3,1587.95,1602,1597.4,1609.17,835475,1344419753.1,38922,320470,38.36,-0.021800367421923,0.031077804716773,0.007746658265595,0.022677799095701,-1
2017-07-25,BAJFINANCE,EQ,1597.4,1606.9,1632.9,1600,1632.7,1627.5,1621.22,813854,1319436779.65,35029,289558,35.58,0.012819714979152,0.0205625,0.014914697294243,0.018104595374934,-1
