Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity,Month,Year,Day_perc_Change,Trend
2019-10-24,1780.78,1770.78,1787.97,1760.78,5.2,10,2019,,Slight or No change
2019-10-23,1762.17,1761.3,1770.05,1742.0,2.19,10,2019,-1.045047675737587,Negative
2019-10-22,1765.73,1788.15,1789.78,1762.0,2.23,10,2019,0.2020236413058818,Slight or No change
2019-10-21,1785.66,1769.66,1785.88,1765.0,2.22,10,2019,1.1287116376796025,Positive
2019-10-18,1757.51,1787.8,1793.98,1749.2,3.37,10,2019,-1.5764479240168994,Negative
2019-10-17,1787.48,1796.49,1798.85,1782.02,2.71,10,2019,1.7052534551723841,Positive
2019-10-16,1777.43,1773.33,1786.24,1770.52,2.8,10,2019,-0.5622440530803074,Slight negative
2019-10-15,1767.38,1742.14,1776.45,1740.62,3.13,10,2019,-0.5654231108960683,Slight negative
2019-10-14,1736.43,1728.91,1741.89,1722.0,1.93,10,2019,-1.7511797123425654,Negative
2019-10-11,1731.92,1742.92,1745.45,1729.86,3.28,10,2019,-0.25972829310711987,Slight or No change
2019-10-10,1720.26,1725.24,1738.29,1713.75,2.72,10,2019,-0.6732412582567404,Slight negative
2019-10-09,1721.99,1719.61,1729.95,1714.36,2.09,10,2019,0.1005661934823765,Slight or No change
2019-10-08,1705.51,1722.49,1727.0,1705.0,2.63,10,2019,-0.957032270802971,Slight negative
2019-10-07,1732.66,1731.63,1747.83,1723.7,2.19,10,2019,1.5918991973075558,Positive
2019-10-04,1739.65,1726.02,1740.58,1719.23,2.49,10,2019,0.40342594623294925,Slight or No change
2019-10-03,1724.42,1713.0,1725.0,1685.06,3.62,10,2019,-0.8754634552927354,Slight negative
2019-10-02,1713.23,1727.74,1728.89,1705.0,3.34,10,2019,-0.6489138376961523,Slight negative
2019-10-01,1735.65,1746.0,1755.6,1728.41,3.17,10,2019,1.308639236996778,Positive
2019-09-30,1735.91,1726.99,1737.46,1709.22,2.76,9,2019,0.014979978682339024,Slight or No change
2019-09-27,1725.45,1748.0,1749.12,1713.82,3.95,9,2019,-0.6025658012224211,Slight negative
2019-09-26,1739.84,1762.79,1763.37,1731.5,3.57,9,2019,0.833985337158416,Slight positive
2019-09-25,1768.33,1747.36,1773.0,1723.0,3.53,9,2019,1.6375068971859585,Positive
2019-09-24,1741.61,1790.61,1795.7,1735.55,4.64,9,2019,-1.511030181018247,Negative
2019-09-23,1785.3,1777.0,1792.7,1767.32,3.14,9,2019,2.508598365879844,Positive
2019-09-20,1794.16,1821.71,1830.63,1780.92,5.56,9,2019,0.4962751358315254,Slight or No change
2019-09-19,1821.5,1821.02,1832.57,1817.9,2.08,9,2019,1.5238328800107004,Positive
2019-09-18,1817.46,1817.04,1822.06,1795.5,2.54,9,2019,-0.22179522371671423,Slight or No change
2019-09-17,1822.55,1807.08,1823.99,1804.1,2.03,9,2019,0.280061184290159,Slight or No change
2019-09-16,1807.84,1824.02,1825.69,1800.2,3.68,9,2019,-0.8071109160242562,Slight negative
2019-09-13,1839.34,1842.01,1846.12,1835.17,1.97,9,2019,1.742410832817054,Positive
2019-09-12,1843.55,1837.63,1853.66,1834.28,2.82,9,2019,0.22888644839997863,Slight or No change
2019-09-11,1822.99,1812.14,1833.42,1809.08,2.43,9,2019,-1.1152396192129266,Negative
2019-09-10,1820.55,1822.75,1825.81,1805.34,2.61,9,2019,-0.13384604413628765,Slight or No change
2019-09-09,1831.35,1841.0,1850.0,1824.61,3.0,9,2019,0.5932273214138473,Slight positive
2019-09-06,1833.51,1838.22,1840.65,1826.4,2.5,9,2019,0.11794577770498638,Slight or No change
2019-09-05,1840.72,1821.95,1842.0,1815.58,3.33,9,2019,0.39323483373421286,Slight or No change
2019-09-04,1800.62,1805.0,1807.63,1796.23,2.33,9,2019,-2.178495371376421,Negative
2019-09-03,1789.84,1770.0,1800.8,1768.0,3.55,9,2019,-0.598682675967166,Slight negative
2019-08-30,1776.29,1797.49,1799.74,1764.57,3.06,8,2019,-0.757050909578505,Slight negative
2019-08-29,1786.4,1783.0,1798.55,1777.25,3.02,8,2019,0.569163818971008,Slight positive
2019-08-28,1764.25,1755.0,1767.86,1744.05,2.42,8,2019,-1.2399238692342163,Negative
2019-08-27,1761.83,1775.73,1779.4,1746.68,3.03,8,2019,-0.1371687685985612,Slight or No change
2019-08-26,1768.87,1766.91,1770.0,1743.51,3.09,8,2019,0.39958452291084523,Slight or No change
2019-08-23,1749.62,1793.03,1804.9,1745.23,5.28,8,2019,-1.0882653897686057,Negative
2019-08-22,1805.6,1828.0,1829.41,1800.1,2.66,8,2019,3.1995519026988717,Among top gainers
2019-08-21,1823.54,1819.39,1829.58,1815.0,2.04,8,2019,0.9935755427558757,Slight positive
2019-08-20,1801.38,1814.5,1816.82,1799.88,1.93,8,2019,-1.215218750342728,Negative
2019-08-19,1816.12,1818.08,1826.0,1812.61,2.82,8,2019,0.8182615550300198,Slight positive
2019-08-16,1792.57,1792.89,1802.91,1784.55,3.05,8,2019,-1.2967204810254818,Negative
2019-08-15,1776.12,1781.99,1788.0,1761.96,3.81,8,2019,-0.9176768550182124,Slight negative
2019-08-14,1762.96,1793.01,1795.65,1757.21,4.89,8,2019,-0.7409409274148016,Slight negative
2019-08-13,1824.34,1783.0,1831.74,1780.0,4.08,8,2019,3.4816445069655533,Among top gainers
2019-08-12,1784.92,1795.99,1800.98,1777.0,2.91,8,2019,-2.1607814332854525,Negative
2019-08-09,1807.58,1828.95,1831.09,1802.22,2.88,8,2019,1.2695246845797037,Positive
2019-08-08,1832.89,1806.0,1834.26,1798.11,3.7,8,2019,1.400214651633691,Positive
2019-08-07,1793.4,1773.99,1798.93,1757.0,4.53,8,2019,-2.1545210023514727,Negative
2019-08-06,1787.83,1792.23,1793.77,1753.4,5.07,8,2019,-0.3105832496933303,Slight or No change
2019-08-05,1765.13,1770.22,1788.67,1748.78,6.06,8,2019,-1.2696956645765978,Negative
2019-08-02,1823.24,1845.07,1846.36,1808.02,4.96,8,2019,3.292108796519222,Among top gainers
2019-08-01,1855.32,1871.72,1897.92,1844.01,4.71,8,2019,1.7595050569316095,Positive
2019-07-31,1866.78,1898.11,1899.55,1849.44,4.47,7,2019,0.617683202897612,Slight positive
2019-07-30,1898.53,1891.12,1909.89,1883.48,2.91,7,2019,1.7007895949174623,Positive
2019-07-29,1912.45,1930.0,1932.23,1890.54,4.49,7,2019,0.7331988433156189,Slight positive
2019-07-26,1943.05,1942.0,1950.89,1924.51,4.93,7,2019,1.6000418311589826,Positive
2019-07-25,1973.82,2001.0,2001.2,1972.72,4.14,7,2019,1.5835928051259662,Positive
2019-07-24,2000.81,1969.3,2001.3,1965.87,2.63,7,2019,1.367399256264501,Positive
2019-07-23,1994.49,1995.99,1997.79,1973.13,2.7,7,2019,-0.3158720718109187,Slight or No change
2019-07-22,1985.63,1971.14,1989.0,1958.26,2.91,7,2019,-0.4442238366700213,Slight or No change
2019-07-19,1964.52,1991.21,1996.0,1962.23,3.19,7,2019,-1.0631386512089391,Negative
2019-07-18,1977.9,1980.01,1987.5,1951.55,3.5,7,2019,0.6810824018080863,Slight positive
2019-07-17,1992.03,2007.05,2012.0,1992.03,2.56,7,2019,0.7143940543000049,Slight positive
2019-07-16,2009.9,2010.58,2026.32,2001.22,2.62,7,2019,0.8970748432503672,Slight positive
2019-07-15,2020.99,2021.4,2022.9,2001.55,2.98,7,2019,0.5517687447136543,Slight positive
2019-07-12,2011.0,2008.27,2017.0,2003.87,2.51,7,2019,-0.49431219352891187,Slight or No change
2019-07-11,2001.07,2025.62,2035.8,1995.3,4.32,7,2019,-0.4937841869716575,Slight or No change
2019-07-10,2017.41,1996.51,2024.94,1995.4,4.93,7,2019,0.8165631387207828,Slight positive
2019-07-09,1988.3,1947.8,1990.01,1943.47,4.35,7,2019,-1.4429392141409147,Negative
2019-07-08,1952.32,1934.12,1956.0,1928.25,2.88,7,2019,-1.8095860785595774,Negative
2019-07-05,1942.91,1928.6,1945.9,1925.3,2.63,7,2019,-0.48199065726929335,Slight or No change
2019-07-03,1939.0,1935.89,1941.59,1930.5,1.69,7,2019,-0.20124452496513845,Slight or No change
2019-07-02,1934.31,1919.38,1934.79,1906.63,2.65,7,2019,-0.24187725631769075,Slight or No change
2019-07-01,1922.19,1922.98,1929.82,1914.66,3.2,7,2019,-0.6265800207825967,Slight negative
2019-06-28,1893.63,1909.1,1912.94,1884.0,3.04,6,2019,-1.4858052533828547,Negative
2019-06-27,1904.28,1902.0,1911.24,1898.04,2.14,6,2019,0.5624118756039964,Slight positive
2019-06-26,1897.83,1892.48,1903.8,1887.32,2.44,6,2019,-0.33871069380553287,Slight or No change
2019-06-25,1878.27,1911.84,1916.38,1872.42,3.01,6,2019,-1.030650795909005,Negative
2019-06-24,1913.9,1912.66,1916.86,1901.3,2.28,6,2019,1.8969583712671767,Positive
2019-06-21,1911.3,1916.1,1925.95,1907.58,3.93,6,2019,-0.1358482679345907,Slight or No change
2019-06-20,1918.19,1933.33,1935.2,1905.8,3.22,6,2019,0.360487626223005,Slight or No change
2019-06-19,1908.79,1907.84,1919.58,1892.47,2.9,6,2019,-0.49004530312430905,Slight or No change
2019-06-18,1901.37,1901.35,1921.67,1899.79,3.9,6,2019,-0.38872793759398006,Slight or No change
2019-06-17,1886.03,1876.5,1895.69,1875.45,2.63,6,2019,-0.8067866853900041,Slight negative
2019-06-14,1869.67,1864.0,1876.0,1859.0,2.85,6,2019,-0.8674305286766382,Slight negative
2019-06-13,1870.3,1866.72,1883.09,1862.22,2.8,6,2019,0.03369578588734434,Slight or No change
2019-06-12,1855.32,1853.98,1865.0,1844.38,2.68,6,2019,-0.8009410255039318,Slight negative
2019-06-11,1863.7,1883.25,1893.7,1858.0,4.04,6,2019,0.4516741047366546,Slight or No change
2019-06-10,1860.63,1822.0,1884.87,1818.0,5.37,6,2019,-0.16472608252400267,Slight or No change
2019-06-07,1804.03,1763.7,1806.25,1759.49,4.81,6,2019,-3.041980404486655,Among top losers
2019-06-06,1754.36,1737.71,1760.0,1726.13,3.69,6,2019,-2.7532801560949727,Negative
2019-06-05,1738.5,1749.6,1752.0,1715.25,4.24,6,2019,-0.9040333796940137,Slight negative
2019-06-04,1729.56,1699.24,1730.82,1680.89,5.68,6,2019,-0.5142364106988762,Slight negative
2019-06-03,1692.69,1760.01,1766.29,1672.0,9.1,6,2019,-2.13175605356275,Negative
2019-05-31,1775.07,1790.01,1795.59,1772.7,4.62,5,2019,4.866809634368963,Among top gainers
2019-05-30,1816.32,1825.49,1829.47,1807.83,3.15,5,2019,2.323852017103545,Positive
2019-05-29,1819.19,1823.12,1830.0,1807.53,4.28,5,2019,0.1580118040873879,Slight or No change
2019-05-28,1836.43,1832.75,1849.27,1827.35,3.2,5,2019,0.9476745144817222,Slight positive
2019-05-24,1823.28,1835.89,1841.76,1817.85,3.37,5,2019,-0.7160632313782722,Slight negative
2019-05-23,1815.48,1836.59,1844.0,1804.2,4.42,5,2019,-0.4278004475450792,Slight or No change
2019-05-22,1859.68,1851.78,1871.48,1851.0,2.94,5,2019,2.4346178421133846,Positive
2019-05-21,1857.52,1874.79,1879.0,1846.0,4.01,5,2019,-0.11614901488428142,Slight or No change
2019-05-20,1858.97,1852.69,1867.78,1835.54,3.8,5,2019,0.078061070674873,Slight or No change
2019-05-17,1869.0,1893.05,1910.53,1867.33,4.74,5,2019,0.539546092728771,Slight positive
2019-05-16,1907.57,1885.94,1917.51,1882.29,4.71,5,2019,2.063670411985008,Positive
2019-05-15,1871.15,1827.95,1874.43,1823.0,4.69,5,2019,-1.9092353098444592,Negative
2019-05-14,1840.12,1839.5,1852.44,1815.75,4.63,5,2019,-1.6583384549608615,Negative
2019-05-13,1822.68,1836.56,1846.54,1818.0,5.78,5,2019,-0.9477642762428462,Slight negative
2019-05-10,1889.98,1898.0,1903.79,1856.0,5.72,5,2019,3.6923650887703774,Among top gainers
2019-05-09,1899.87,1900.0,1909.4,1876.0,5.31,5,2019,0.5232859606979945,Slight positive
2019-05-08,1917.77,1918.87,1935.37,1910.0,4.08,5,2019,0.9421697274023977,Slight positive
2019-05-07,1921.0,1939.99,1949.1,1903.38,5.9,5,2019,0.16842478503678038,Slight or No change
2019-05-06,1950.55,1917.98,1959.0,1910.5,5.42,5,2019,1.5382613222280073,Positive
2019-05-03,1962.46,1949.0,1964.4,1936.0,6.38,5,2019,0.6105970110994452,Slight positive
2019-05-02,1900.82,1913.33,1921.55,1881.87,3.96,5,2019,-3.1409557392252596,Among top losers
2019-05-01,1911.52,1933.09,1943.64,1910.55,3.12,5,2019,0.5629149524941868,Slight positive
2019-04-30,1926.52,1930.1,1935.71,1906.95,3.51,4,2019,0.7847158282414002,Slight positive
2019-04-29,1938.43,1949.0,1956.34,1934.09,4.02,4,2019,0.6182131511741407,Slight positive
2019-04-26,1950.63,1929.0,1951.0,1898.0,8.43,4,2019,0.6293753192016194,Slight positive
2019-04-25,1902.25,1917.0,1922.45,1900.31,6.1,4,2019,-2.4802243377780586,Negative
2019-04-24,1901.75,1925.0,1929.69,1898.16,3.68,4,2019,-0.02628466289920084,Slight or No change
2019-04-23,1923.77,1891.2,1929.26,1889.58,4.64,4,2019,1.1578808991718148,Positive
2019-04-22,1887.31,1855.4,1888.42,1845.64,3.37,4,2019,-1.8952369566008431,Negative
2019-04-18,1861.69,1868.79,1870.82,1859.48,2.75,4,2019,-1.3574876411400316,Negative
2019-04-17,1864.82,1872.99,1876.47,1860.44,2.89,4,2019,0.1681268095117705,Slight or No change
2019-04-16,1863.04,1851.35,1869.77,1848.0,3.04,4,2019,-0.09545157173346253,Slight or No change
2019-04-15,1844.87,1842.0,1846.85,1818.9,3.72,4,2019,-0.9752877018206818,Slight negative
2019-04-12,1843.06,1848.4,1851.5,1841.3,3.11,4,2019,-0.09810989392206038,Slight or No change
2019-04-11,1844.07,1848.7,1849.95,1840.31,2.65,4,2019,0.054800169283697464,Slight or No change
2019-04-10,1847.33,1841.0,1848.0,1828.81,2.96,4,2019,0.17678287700575446,Slight or No change
2019-04-09,1835.84,1845.49,1853.09,1831.78,3.71,4,2019,-0.6219787477061534,Slight negative
2019-04-08,1849.86,1833.23,1850.2,1825.11,3.75,4,2019,0.7636831096391905,Slight positive
2019-04-05,1837.28,1829.0,1838.58,1825.19,3.64,4,2019,-0.6800514633539811,Slight negative
2019-04-04,1818.86,1820.65,1828.75,1804.2,3.62,4,2019,-1.0025690150657574,Negative
2019-04-03,1820.7,1826.72,1830.0,1809.62,3.98,4,2019,0.10116226647460813,Slight or No change
2019-04-02,1813.98,1811.02,1820.0,1805.12,3.45,4,2019,-0.36908881199538834,Slight or No change
2019-04-01,1814.19,1800.11,1815.67,1798.73,4.24,4,2019,0.011576753878217438,Slight or No change
2019-03-29,1780.75,1786.58,1792.86,1776.63,3.32,3,2019,-1.843246848455793,Negative
2019-03-28,1773.42,1770.0,1777.93,1753.47,3.04,3,2019,-0.4116243155973587,Slight or No change
2019-03-27,1765.7,1784.13,1787.5,1745.68,4.32,3,2019,-0.4353170709702203,Slight or No change
2019-03-26,1783.76,1793.0,1805.77,1773.36,4.87,3,2019,1.0228238092541142,Positive
2019-03-25,1774.26,1757.79,1782.68,1747.5,5.1,3,2019,-0.5325828586805414,Slight negative
2019-03-22,1764.77,1810.17,1818.98,1763.11,6.36,3,2019,-0.5348708757453857,Slight negative
2019-03-21,1819.26,1796.26,1823.75,1787.28,5.77,3,2019,3.0876544818871476,Among top gainers
2019-03-20,1797.27,1769.94,1799.5,1767.03,6.27,3,2019,-1.2087332211998314,Negative
2019-03-19,1761.85,1753.51,1784.16,1753.51,6.36,3,2019,-1.9707667740517576,Negative
2019-03-18,1742.15,1712.7,1750.0,1712.63,5.43,3,2019,-1.1181428611970246,Negative
2019-03-15,1712.36,1703.0,1718.8,1693.13,7.55,3,2019,-1.7099560887409382,Negative
2019-03-14,1686.22,1691.2,1702.0,1684.34,2.95,3,2019,-1.5265481557616312,Negative
2019-03-13,1690.81,1683.0,1700.0,1679.35,3.55,3,2019,0.2722064736511154,Slight or No change
2019-03-12,1673.1,1669.0,1684.27,1660.98,3.61,3,2019,-1.0474269728709906,Negative
2019-03-11,1670.62,1626.12,1672.29,1626.01,3.88,3,2019,-0.14822784053553084,Slight or No change
2019-03-08,1620.8,1604.01,1622.72,1586.57,4.67,3,2019,-2.982126396188234,Negative
2019-03-07,1625.95,1667.37,1669.75,1620.51,4.96,3,2019,0.31774432379072515,Slight or No change
2019-03-06,1668.95,1695.97,1697.75,1668.28,4.0,3,2019,2.644607767766538,Positive
2019-03-05,1692.43,1702.95,1707.8,1689.01,3.68,3,2019,1.40687258455916,Positive
2019-03-04,1696.17,1685.0,1709.43,1674.36,6.17,3,2019,0.22098402888155455,Slight or No change
2019-03-01,1671.73,1655.13,1674.26,1651.0,4.97,3,2019,-1.4408933066850649,Negative
2019-02-28,1639.83,1635.25,1651.77,1633.83,3.03,2,2019,-1.9082028796516215,Negative
2019-02-27,1641.09,1628.18,1641.81,1615.1,3.15,2,2019,0.07683723312781332,Slight or No change
2019-02-26,1636.4,1625.98,1639.99,1616.13,2.67,2,2019,-0.2857856668433634,Slight or No change
2019-02-25,1633.0,1641.45,1654.6,1630.39,3.18,2,2019,-0.20777316059643613,Slight or No change
2019-02-22,1631.56,1623.5,1634.94,1621.17,3.1,2,2019,-0.08818126148193439,Slight or No change
2019-02-21,1619.44,1619.85,1623.56,1600.91,3.48,2,2019,-0.742847336291641,Slight negative
2019-02-20,1622.1,1630.0,1634.93,1610.12,3.34,2,2019,0.16425431013189495,Slight or No change
2019-02-19,1627.58,1601.0,1634.0,1600.56,3.68,2,2019,0.33783367239996753,Slight or No change
2019-02-15,1607.95,1627.86,1628.91,1604.5,4.34,2,2019,-1.206085107951671,Negative
2019-02-14,1622.65,1624.5,1637.9,1606.06,4.12,2,2019,0.9142075313287146,Slight positive
2019-02-13,1640.0,1647.0,1656.38,1637.11,3.56,2,2019,1.069238591193411,Positive
2019-02-12,1638.01,1604.0,1639.39,1598.88,4.86,2,2019,-0.12134146341463703,Slight or No change
2019-02-11,1591.0,1600.98,1609.29,1586.0,3.32,2,2019,-2.8699458489264362,Negative
2019-02-08,1588.22,1586.0,1588.59,1566.76,5.66,2,2019,-0.17473287240729052,Slight or No change
2019-02-07,1614.37,1625.0,1625.54,1592.91,4.63,2,2019,1.6464973366410174,Positive
2019-02-06,1640.26,1670.75,1672.26,1633.34,3.94,2,2019,1.6037215755991596,Positive
